iteration,radius,Decay
0,5,5
1,5,4.0936537654
2,5,3.3516002302
3,5,2.7440581805
4,5,2.2466448206
5,5,1.8393972059
6,5,1.5059710596
7,5,1.2329848197
8,5,1.00948259
9,5,0.8264944411
10,5,0.6766764162
11,5,0.5540157918
12,5,0.4535897664
13,5,0.3713678911
14,5,0.3040503131
15,5,0.2489353418
16,5,0.2038110199
17,5,0.1668663498
18,5,0.1366186122
19,5,0.1118538593
20,5,0.0915781944
21,5,0.0749778841
22,5,0.0613866995
23,5,0.0502591787
24,5,0.0411487352
25,5,0.033689735
26,5,0.0275828221
27,5,0.0225829047
28,5,0.0184893186
29,5,0.0151377737
30,5,0.0123937609
